FARM_NO,,FARM_PIG_NO,,BUNMAN_SANCHA,,GYOBAE_DT,,BUNMAN_DT,,CHONGSAN,,SILSAN,,EUDUSU,,EUKG,,CHOGYOBAE,,JAE
624,,95,,6,,20111025,,20120217,,16,,16,,10,,70,,,,5
624,,95,,7,,20120410,,20120803,,9,,8,,10,,70,,,,26
624,,95,,8,,20120928,,20130121,,13,,13,,10,,60,,,,29
624,,95,,9,,20130219,,20130615,,9,,7,,10,,70,,,,5
624,,197-161,,5,,20100709,,20101031,,7,,7,,5,,0,,,,
624,,197-161,,6,,20110104,,20110429,,17,,15,,9,,72,,,,
624,,197-161,,7,,20110530,,20110921,,13,,11,,10,,70,,,,4
624,,197-161,,8,,20111025,,20120216,,10,,7,,7,,45.5,,,,5
624,,98-98,,3,,20100709,,20101102,,9,,9,,10,,0,,,,
624,,98-98,,4,,20110104,,20110501,,13,,13,,11,,77,,,,
624,,98-98,,5,,20110530,,20110924,,13,,11,,10,,70,,,,4
624,,98-98,,6,,20111025,,20120219,,8,,8,,8,,56,,,,5
624,,98-98,,7,,20120320,,20120715,,8,,8,,10,,60,,,,5
624,,98-98,,8,,20120815,,20121210,,10,,5,,4,,28,,,,6
624,,98-98,,9,,20130506,,20130826,,10,,0,,0,,0,,,,
624,,18-86,,2,,20101017,,20110213,,11,,11,,10,,80,,,,
624,,18-86,,3,,20110506,,20110901,,15,,15,,11,,77,,,,43
624,,18-86,,4,,20111004,,20120129,,10,,10,,9,,72,,,,5
624,,18-86,,5,,20120301,,20120625,,8,,8,,11,,77,,,,7
624,,18-86,,6,,20120924,,20130119,,15,,12,,10,,70,,,,
624,,18-86,,7,,20130218,,20130615,,13,,12,,12,,84,,,,4
624,,18-86,,8,,20130716,,20131109,,9,,9,,9,,63,,,,5
624,,18-86,,9,,20131209,,20140404,,10,,10,,10,,70,,,,4
624,,18-86,,10,,20140506,,20140829,,10,,9,,8,,52,,,,5
624,,16-42,,2,,20100722,,20101115,,11,,10,,3,,0,,,,
624,,16-42,,3,,20101215,,20110408,,17,,17,,10,,80,,,,5
624,,16-42,,4,,20110509,,20110901,,15,,15,,8,,48,,,,4
624,,16-42,,5,,20111004,,20120126,,17,,17,,11,,99,,,,5
624,,16-42,,6,,20120228,,20120622,,9,,9,,10,,80,,,,5
624,,16-42,,7,,20120725,,20121116,,10,,10,,10,,70,,,,5
624,,16-42,,8,,20121218,,20130412,,15,,3,,8,,0,,,,5
624,,16-42,,9,,20130514,,20130905,,13,,7,,9,,72,,,,5
624,,16-42,,10,,20131008,,20140129,,10,,3,,0,,0,,,,5
624,,7094,,4,,20100726,,20101119,,11,,11,,3,,0,,,,
624,,7093,,4,,20100726,,20101116,,13,,13,,6,,0,,,,
624,,7093,,5,,20110106,,20110430,,14,,8,,10,,100,,,,15
624,,7093,,6,,20110530,,20110921,,13,,8,,4,,28,,,,4
624,,171-77,,4,,20100907,,20101231,,9,,9,,6,,48,,,,
624,,171-77,,5,,20110215,,20110608,,9,,7,,8,,72,,,,26
624,,171-77,,6,,20110711,,20111103,,11,,10,,8,,64,,,,4
624,,171-77,,7,,20120318,,20120711,,9,,9,,5,,40,,,,
624,,171-77,,8,,20121005,,20130129,,9,,9,,10,,70,,,,57
624,,171-77,,9,,20130311,,20130703,,10,,7,,7,,63,,,,14
624,,171-77,,10,,20131209,,20140401,,12,,10,,0,,0,,,,
624,,171-164,,3,,20100726,,20101119,,10,,10,,3,,0,,,,
624,,171-164,,4,,20110427,,20110821,,10,,10,,11,,77,,,,126
624,,171-164,,5,,20111004,,20120128,,9,,8,,8,,56,,,,16
624,,171-164,,6,,20120320,,20120713,,11,,11,,10,,70,,,,26
624,,171-164,,7,,20130429,,20130820,,12,,8,,8,,56,,,,
624,,171-164,,8,,20130916,,20140109,,6,,6,,6,,60,,,,4
624,,171-164,,9,,20140210,,20140606,,12,,10,,9,,54,,,,4
